geoid_o,geoid_d,lng_o,lat_o,lng_d,lat_d,date_range,visitor_flows,pop_flows,policy
51,38,-78.66634949,37.5108731,-100.4693908,47.44631042,03/02/20 - 03/08/20,121,1900,0
51,39,-78.66634949,37.5108731,-82.70937701,40.41548691,03/02/20 - 03/08/20,5057,79422,0
51,40,-78.66634949,37.5108731,-97.50822793,35.58346465,03/02/20 - 03/08/20,790,12407,0
51,41,-78.66634949,37.5108731,-120.6052563,43.94045139,03/02/20 - 03/08/20,515,8088,0
51,42,-78.66634949,37.5108731,-77.83893801,40.89670051,03/02/20 - 03/08/20,14704,230934,0
51,44,-78.66634949,37.5108731,-71.52472356,41.5946389,03/02/20 - 03/08/20,322,5057,0
51,45,-78.66634949,37.5108731,-80.86459716,33.87785607,03/02/20 - 03/08/20,13327,209307,0
51,46,-78.66634949,37.5108731,-100.2033536,44.44664208,03/02/20 - 03/08/20,65,1020,0
51,47,-78.66634949,37.5108731,-86.34341233,35.84298014,03/02/20 - 03/08/20,30812,483918,0
51,48,-78.66634949,37.5108731,-99.31712097,31.44721219,03/02/20 - 03/08/20,8004,125707,0
51,49,-78.66634949,37.5108731,-111.67825,39.32376871,03/02/20 - 03/08/20,1517,23825,0
51,50,-78.66634949,37.5108731,-72.66263037,44.07524823,03/02/20 - 03/08/20,406,6376,0
51,51,-78.66634949,37.5108731,-78.66634949,37.5108731,03/02/20 - 03/08/20,3549885,55752842,0
51,53,-78.66634949,37.5108731,-120.5928999,47.41163922,03/02/20 - 03/08/20,985,15469,0
51,54,-78.66634949,37.5108731,-80.6137069,38.6425671,03/02/20 - 03/08/20,13072,205302,0
51,55,-78.66634949,37.5108731,-89.73293306,44.63994411,03/02/20 - 03/08/20,796,12501,0
51,56,-78.66634949,37.5108731,-107.5513942,42.99953746,03/02/20 - 03/08/20,392,6156,0
51,72,-78.66634949,37.5108731,-66.41466678,18.21569834,03/02/20 - 03/08/20,511,8025,0
51,1,-78.66634949,37.5108731,-86.844521,32.75687994,03/09/20 - 03/15/20,2865,48700,1
51,2,-78.66634949,37.5108731,-151.2505488,63.78846948,03/09/20 - 03/15/20,73,1240,1
51,4,-78.66634949,37.5108731,-111.6644603,34.29309519,03/09/20 - 03/15/20,2510,42666,1
51,5,-78.66634949,37.5108731,-92.43923686,34.89977242,03/09/20 - 03/15/20,736,12510,1
51,6,-78.66634949,37.5108731,-119.6638459,37.21530826,03/09/20 - 03/15/20,7174,121947,1
51,8,-78.66634949,37.5108731,-105.5478211,38.9985316,03/09/20 - 03/15/20,3842,65308,1
51,9,-78.66634949,37.5108731,-72.73825768,41.57516415,03/09/20 - 03/15/20,1105,18783,1
51,10,-78.66634949,37.5108731,-75.45249263,38.99497529,03/09/20 - 03/15/20,2832,48139,1
51,11,-78.66634949,37.5108731,-77.0162909,38.90477389,03/09/20 - 03/15/20,43902,746267,1
